Specjalna odzie¿ robocza;Jednostki do przechowywania taœm magnetycznych;Czêœci i akcesoria do pojazdów i wózków inwalidzkich;W³ókiennicze przewody do pomp
"Diamenty przemys³owe, pumeks; szmergiel i inne materia³y œcierne naturalne";Ci¹g³e formularze urzêdowe;Sprzêt elektroniczny;£adowarki przegubowe;Maszyny do podnoszenia, przenoszenia, za³adunku lub roz³adunku
Pumeks;Formularze urzêdowe inne ni¿ ci¹g³e;Artyku³y elektroniczne;Pojazdy samowy³adowcze;Popychacze do wagoników górniczych i przesuwnice lokomotyw lub wagonów
Diamenty przemys³owe;Zeszyty æwiczeñ;Elektroniczne elementy sk³adowe;Pojazdy do utrzymania dróg w okresie zimy;Kolej jednoszynowa lub wyci¹gi narciarskie
Szmergiel;Wk³ady do notatników szkolnych;PrzekaŸniki;Pojazdy silnikowe specjalnego zastosowania;Napowietrzne urz¹dzenia jednoszynowe
Materia³y œcierne naturalne;Arkusze æwiczeniowe;Przetworniki;DŸwigi masztowe samojezdne;Wyci¹gi krzese³kowe
Pokrewne minera³y, metale szlachetne i produkty pochodne;Albumy do przechowywania eksponatów;Oporniki;Pojazdy s³u¿b ratowniczych;Urz¹dzenia do wyci¹gów narciarskich
Minera³y;Albumy na kolekcje;Oporniki elektryczne;Wozy stra¿ackie;Urz¹dzenia do unoszenia klap wylotów
Z³oto;Klasery na znaczki;Elektrody;Pojazdy ciê¿arowe z drabin¹ obrotow¹;Maszyny ko³owych systemów przechowywania i wyszukiwania
Srebro;Skoroszyty filatelistyczne;Kondensatory elektroniczne;Cysterny do transportu wody;Mechaniczne urz¹dzenia prze³adunkowe
Platyna;Skoroszyty i podobne wyroby;Kondensatory sta³e;Motopompy;Maszyny do za³adunku lub prze³adunku
Rudy i stopy metali;Skoroszyty;Kondensatory nastawne lub sta³e;Pojazdy pogotowia technicznego;Urz¹dzenia za³adowcze
Rudy metali;Foldery;Baterie kondensatorów;Mosty jezdne;Urz¹dzenia wy³adowcze
Rudy ¿elaza;Ok³adki na akta;Sieci kondensatorów;Pojazdy utrzymania dróg;Pojazdy z ³adowaniem bocznym
Rudy metali nie¿elaznych;Pojemniki na akta;Elektroniczne tablice punktacyjne;Szambiarki;Urz¹dzenia do przenoszenia kontenerów
Rudy miedzi;Ró¿ne druki;Elektroniczne systemy rejestrowania czasu;Pojazdy do rozrzucania soli;Czêœci urz¹dzeñ podnoœnikowych i prze³adunkowych
Rudy niklu;Papier gazetowy, papier czerpany i innego rodzaju papier lub tektura w rodzaju u¿ywanych do celów graficznych;System do rejestrowania obecnoœci;Pojazdy do zamiatania dróg;Czêœci dŸwigów
Rudy glinu;Papier gazetowy;Zawory i lampy elektronowe;Zamiatarki zasysaj¹ce;Czêœci pojazdów technicznych
Rudy metali szlachetnych;Papier czerpany lub tektura;Lampy elektronopromienne do odbiorników telewizyjnych;Piaskarki;Czêœci wyci¹gów pionowych i pochy³ych lub schodów ruchomych
Rudy o³owiu;Papier fotoczu³y, termoczu³y lub termograficzny i tektura;Kineskopy do odbiorników telewizyjnych;Polewaczki;Czêœci podnoœników
Rudy cynku;Papier fotoczu³y lub tektura;Lampy mikrofalowe i urz¹dzenia;Pojazdy do transportu odpadów i œcieków;Czêœci wyci¹gów pochy³ych
Rudy cyny;Papier termoczu³y lub tektura;Magnetrony;Pojazdy do transportu odpadów;Czêœci schodów ruchomych
Rudy uranu i toru;Papier termograficzny lub tektura;Urz¹dzenia mikrofalowe;Pojazdy do zbierania odpadów;Czêœci chodników ruchomych
Rudy uranu;Papier lub tektura faliste;Mikrofalowy sprzêt radiowy;Zgniatarki;Czêœci przenoœników
Rudy toru;Produkty chemiczne;Klistrony;Cysterny do gromadzenia œcieków;Czêœci przenoœników pasowych
Ró¿ne rudy;Gazy;Lampy elektronowe;Pojazdy u¿ytecznoœci publicznej;Czêœci przenoœników koszowych
Stopy;Gazy przemys³owe;Lampy elektronowe wzmacniaj¹ce lub odbiorcze;£adowarki jezdne;Czêœci przek³adni wyci¹gnikowych i innych urz¹dzeñ podnoœnikowych lub przenoœnikowych
¯elazostopy;Wodór, argon, gazy szlachetne, azot i tlen;Czêœci podzespo³ów elektronicznych;Pojazdy do tankowania statków powietrznych;£opatki, szufle, ³y¿ki i chwytaki do dŸwigów lub koparek
Inne ni¿ z EWWiS;Argon;Czêœci kondensatorów elektrycznych;Pojazdy do holowania statków powietrznych;Urz¹dzenia ch³odz¹ce i wentylacyjne
¯elazomangan;Gazy szlachetne;Czêœci elektrycznych oporników, reostatów i potencjometrów;Pojazdy do transportu ³adunków;Wymienniki ciep³a, urz¹dzenia do konfekcjonowania powietrza i urz¹dzenia ch³odz¹ce oraz maszyny filtruj¹ce
¯elazochrom;Hel;Czêœci zaworów i przewodów elektronicznych;Wozy bramowe;Wymienniki ciep³a i maszyny do skraplania powietrza lub innych gazów
¯elazonikiel;Neon;Mikroelektroniczne maszyny i aparatura oraz mikrosystemy;Wózki biblioteczne;Wymienniki ciep³a
Stal;Gazy medyczne;Maszyny i aparatura mikroelektroniczna;Wozy mieszkalne;Pompy grzewcze
¯u¿el, popio³y, odpady ¿elaza i z³om;Wodór;Elektroniczne uk³ady scalone i mikromodu³y;Pojazdy elektryczne;Maszyny do skraplania powietrza lub innych gazów
Metale zwyk³e;Azot;Karty telefoniczne;Autobusy elektryczne;Uk³ady konfekcjonowania powietrza
¯elazo, o³ów, cynk, cyna i miedŸ;Azot ciek³y;Karty SIM;Symulatory;Okienne maszyny do konfekcjonowania powietrza
¯elazo;Tlen;Karty zawieraj¹ce obwody scalone;Symulatory jazdy;Œcienne maszyny do konfekcjonowania powietrza
Surówka;Nieorganiczne zwi¹zki tlenu;Zintegrowane obwody elektroniczne;Symulatory szkoleniowe;Uk³ady HVAC
O³ów;Ditlenek wêgla;Mikropodzespo³y;Nadwozia pojazdów, przyczepy lub naczepy;Klimatyzatory do pojazdów mechanicznych
Cynk;Tlenki azotu;Mikroprocesory;Nadwozia pojazdów mechanicznych;Czêœci maszyn do konfekcjonowania powietrza
Cyna;Gazowe nieorganiczne zwi¹zki tlenu;Pakiety uk³adów scalonych;Nadwozia autobusów, ambulansów i pojazdów do transportu towarów;Przepustnice
MiedŸ;Ciek³e powietrze i sprê¿one powietrze;Gniazda lub podstawy dla uk³adów scalonych;Nadwozia autobusów;Szczeliny wentylacyjne
Glin, nikiel, skand, tytan i wanad;Ciek³e powietrze;Pokrywy uk³adów scalonych;Nadwozia ambulansów;Urz¹dzenia ch³odnicze i mro¿¹ce
Glin;Sprê¿one powietrze;Mikrosystemy;Nadwozia do pojazdów do transportu towarów;Urz¹dzenia mro¿¹ce
Tlenek glinu;Barwniki i pigmenty;Obwody drukowane;Przyczepy, naczepy oraz cysterny samojezdne;Urz¹dzenia ch³odnicze
Nikiel;Tlenki, nadtlenki i wodorotlenki;Zbiorcze obwody drukowane;Cysterny samojezdne specjalnego zastosowania;Witryny ch³odnicze
Skand;Tlenek cynku i nadtlenek cynku, tlenek tytanu, barwniki i pigmenty;Indywidualne obwody drukowane;Wozy pomocy drogowej;Lady ch³odnicze
Tytan;Tlenek cynku;Pó³przewodniki;Wozy pogotowia technicznego;Przemys³owe urz¹dzenia ch³odnicze
Wanad;Nadtlenek cynku;Fotoogniwa;Wozy ratownictwa chemicznego;Maszyny i aparatura do filtrowania lub oczyszczania gazów
Chrom, mangan, kobalt, itr i cyrkon;Tlenek tytanu;Tyrystory;Przyczepy i naczepy;Elektrostatyczne urz¹dzenia do oczyszczania powietrza i gazu
Chrom;Tlenki i wodorotlenki chromu, manganu, magnezu, o³owiu i miedzi;Diaki;Naczepy;Aparatura filtruj¹ca
Mangan;Tlenek chromu;Triaki;Cysterny samochodowe benzynowe;Filtry powietrza
Kobalt;Tlenek manganu;Od³¹czniki sprzê¿one optycznie;Przyczepy;Filtry gazu
Itr;Tlenek o³owiu;Oscylatory oparte na kryszta³ach;Przyczepy ogólnego zastosowania;Kot³y lokalnych uk³adów ogrzewania
Cyrkon;Tlenek miedzi;Diody;Przyczepy do transportu koni;Urz¹dzenia wentylacyjne
Molibden, technet, ruten i rod;Tlenek magnezu;Diody œwiec¹ce;Jednostki ruchome na przyczepach;Urz¹dzenia do odprowadzania dymu
Molibden;Wodorotlenki do barwników i pigmentów;Diody mikrofalowe lub o niewielkim sygnale;Cysterny naczepowe;Wentylatory inne ni¿ domowe
Technet;Wodorotlenek chromu;Diody Zenera;Przyczepy z drabinami obrotowymi;Czêœci wentylatorów
Ruten;Wodorotlenek manganu;Diody Schottky’ego;Przyczepy do tankowania;Czêœci sprzêtu ch³odniczego i mro¿¹cego i pompy grzewcze
Rod;Wodorotlenek o³owiu;Diody tunelowe;Przyczepy z wywrotnicami;Czêœci sprzêtu ch³odniczego
Kadm, lutet, hafn, tantal i wolfram;Wodorotlenek miedzi;Fotodiody;Przyczepy i naczepy kempingowe;Czêœci sprzêtu mro¿¹cego
Kadm;Wodorotlenek magnezu;Diody mocy lub diody s³oneczne;Czêœci przyczep, naczep i innych pojazdów;Czêœci pomp grzewczych
Lutet;Wapno uwodnione;Diody laserowe;Czêœci przyczep i naczep;Obrabiarki
Hafn;Ekstrakty garbników, ekstrakty barwników, garbniki i œrodki barwi¹ce;Diody czêstotliwoœci radiowej (RF);Czêœci innych pojazdów;Obrabiarki sterowane laserem lub centra obróbkowe
Tantal;Ekstrakty barwników;Tranzystory;Czêœci i akcesoria do pojazdów i silników do nich;Obrabiarki specjalnego zastosowania
Wolfram;Ekstrakty garbników;Fototranzystory;Silniki do pojazdów i czêœci silników;Centra obróbkowe
Iryd, gal, ind, tal i bar;Garbniki;Tranzystory polowe (FET);Silniki do pojazdów;Poprzeczne, wrzecionowe centra obróbkowe
Iryd;Œrodki barwi¹ce;Tranzystory polowe typu metal-tlenek-pó³przewodnik (MOSFET);Silniki wewnêtrznego spalania do pojazdów silnikowych i motocykli;Pionowe, wrzecionowate centra obróbkowe
Gal;Preparaty garbników;Chipy tranzystorowe;Silniki spalinowe o zap³onie iskrowym;Tokarki, obrabiarki do wiercenia i frezowania
Ind;Podstawowe chemikalia nieorganiczne i organiczne;Tranzystory bipolarne Darlingtona lub o czêstotliwoœci radiowej (RF);Silniki z zap³onem samoczynnym;Tokarki
Tal;Zasadowe chemikalia nieorganiczne;Tranzystory jednoz³¹czowe;Czêœci silników;Tokarki sterowane komputerowo
Bar;Pierwiastki chemiczne, kwasy i zwi¹zki nieorganiczne;Tranzystory bipolarne z izolowan¹ bramk¹ (IGBT);Pasy wentylatorowe;Maszyny do frezowania lub gwintowania
Cez, stront, rubid i wapñ;Niemetale;Tranzystory polowe z³¹czowe (JFET);Œwiece zap³onowe;Frezarki
Cez;Fosforki;Tranzystory bipolarne z³¹czowe (BJT);Ch³odnice do pojazdów mechanicznych;Obrabiarki do obróbki metali
Stront;Wêgliki;Obsadzone kryszta³y piezoelektryczne;T³oki;Obrabiarki do wykañczania metali
Rubid;Wodorki;Urz¹dzenia elektromechaniczne;Uszczelki;Obrabiarki sterowane komputerowo do metalu
Wapñ;Azotki;Sprzêt elektrotechniczny;Gumowe przenoœniki pasowe;Giêtarki, sk³adarki, prostownice lub p³askownice
Potas, magnez, sód i lit;Azydki;Artyku³y elektrotechniczne;Gumowe pasy napêdowe;KuŸniarki
Potas;Krzemki;Modu³y;Mechaniczne czêœci zapasowe, z wy³¹czeniem silników i czêœci silników;Maszyny do kucia matrycowego
Magnez;Borki;Sprzêt radiowy, telewizyjny, komunikacyjny, telekomunikacyjny i podobny;Osie i przek³adnie;Prasy
Sód;Siarka oczyszczona;Aparatura transmisyjna do radiotelefonii, radiotelegrafii, transmisji radiowej i telewizyjnej;Osie;Prasy hydrauliczne
Lit;Halogen;Sprzêt nadawczy;Przek³adnie;Obrabiarki do wiercenia, strugania lub frezowania metalu
Niob, osm, ren i pallad;Metale alkaliczne;Urz¹dzenia do nadawania audycji;Hamulce i czêœci hamulców;Obrabiarki do strugania metalu
Niob;Rtêæ;Telewizyjna aparatura nadawcza bez aparatury odbiorczej;Sprzêt hamulcowy;Obrabiarki do wiercenia metalu
Osm;Chlorowodór (kwas chlorowodorowy), kwasy nieorganiczne, ditlenek krzemu i ditlenek siarki;Radiolatarnie;Hamulce tarczowe;Obrabiarki do frezowania metalu
Ren;Kwasy nieorganiczne;Maszyny koduj¹ce sygna³ wideo;Linki hamulcowe;Centra obróbkowe do obróbki metalu
Pallad;Kwas siarkowy;Aparatura nadawcza wideo;P³ytki cierne hamulcowe;Obrabiarki do obróbki tworzyw twardych, z wyj¹tkiem metalu
Ró¿ne niemetalowe produkty mineralne;Kwas fosforowy;Telewizyjna aparatura nadawcza;Klocki hamulcowe;Obrabiarki do obróbki kamienia, ceramiki, betonu lub szk³a
Wyroby œcierne;Kwasy polifosforowe;Radiowa aparatura nadawcza z aparatur¹ odbiorcz¹;Ko³a, czêœci i akcesoria;Obrabiarki do obróbki kamienia
Kamienie m³yñskie, kamienie szlifierskie i œciernice;Kwas heksafluorokrzemowy;Aparatura telewizyjna o obwodzie zamkniêtym;Sprzêt do wywa¿ania kó³;Obrabiarki do obróbki ceramiki
Kamienie m³yñskie;Ditlenek siarki;Sprzêt wideokonferencyjny;T³umiki i rury wydechowe;Obrabiarki do obróbki betonu
Kamienie szlifierskie;Ditlenek krzemu;Stacje wzmacniaj¹ce czêstotliwoœæ radiow¹;T³umiki;Obrabiarki do obróbki szk³a
Œciernice;Chlorowodór (kwas chlorowodorowy);Kamery telewizyjne o obwodzie zamkniêtym;Rury wydechowe;Obrabiarki do obróbki drewna, koœci, korka, gumy lub twardych tworzyw sztucznych
Proszek lub ziarno œcierne;Wodorotlenki, jako zasadowe chemikalia nieorganiczne;Systemy nadzoru o obwodzie zamkniêtym;Podnoœniki samochodowe, sprzêg³a i podobne elementy;Obrabiarki do obróbki drewna
Korund sztuczny;Tlenki metali;Radiotelefony;Sprzêg³a i podobne elementy;Obrabiarki do obróbki koœci
Grafit sztuczny;Piryty ¿elaza i tlenki ¿elaza;Krótkofalówki;Podnoœniki samochodowe;Obrabiarki do obróbki korka
Szk³o;Wodorotlenek sodu;Kamery telewizyjne;Kierownice, kolumny i skrzynki;Obrabiarki do obróbki gumy utwardzonej
W³ókno szklane;Soda kaustyczna;Telefony komórkowe;Kierownice;Obrabiarki do obróbki utwardzanych tworzyw sztucznych
Odzyskane surowce wtórne;Soda ciek³a;Telefony samochodowe;Kolumny i przek³adnie kierownicze;Pneumatyczne lub silnikowe narzêdzia rêczne
Odzyskane surowce wtórne z metalu;Zwi¹zki siarki;Zestawy niewymagaj¹ce u¿ywania r¹k;Stoiska do prób, zestawy do zmiany przeznaczenia u¿ytkowego pojazdów i pasy bezpieczeñstwa;Pneumatyczne narzêdzia rêczne
Odzyskane surowce wtórne niemetalowe;Siarka;Telefony GSM;Stoiska do prób;Rêczne narzêdzia elektromechaniczne
Py³ i pozosta³oœci zawieraj¹ce metale;Wêgiel;Telefony komórkowe niewymagaj¹ce u¿ywania r¹k;Zestawy do zmiany przeznaczenia u¿ytkowego pojazdów;Narzêdzia do lutowania na miêkko, lutowania na twardo, obróbki powierzchni oraz maszyny i urz¹dzenia do natryskiwania na gor¹co
¯ywnoœæ, napoje, tytoñ i produkty pokrewne;Chlor;Telefony komórkowe niewymagaj¹ce u¿ywania r¹k (bezprzewodowe);Pasy bezpieczeñstwa;Urz¹dzenia do lutowania na miêkko i na twardo
Produkty zwierzêce, miêso i produkty miêsne;"Halogenki metaliczne; podchloryny, chlorany i nadchlorany";Urz¹dzenia do przesy³u danych;Czêœci zapasowe do pojazdów do transportu towarów, pojazdów pasa¿ersko-towarowych i samochodów;Urz¹dzenia do lutowania na miêkko
Miêso;Halogenki metaliczne;Cyfrowa aparatura nadawcza;Opony do pracy w lekkich i ciê¿kich warunkach;Urz¹dzenia do lutowania na twardo
Miêso wo³owe;Heksafluorokrzemian sodowy;Odbiorniki telewizyjne i radiowe oraz aparatura nagrywaj¹ca dŸwiêk lub obraz lub aparatura powielaj¹ca;Opony do pracy w lekkich warunkach;Sprzêt spawalniczy
Wo³owina;Chlorki;Odbiorniki audycji radiowych;Opony do pojazdów silnikowych;Elektryczny sprzêt spawalniczy
Cielêcina;Chlorek glinu;Sprzêt telewizyjny i audiowizualny;Opony do pojazdów wysokowydajnych;Nieelektryczny sprzêt spawalniczy
Drób;Chlorek ¿elazowy;Telewizyjny sprzêt projekcyjny;Opony do pojazdów ciê¿arowych;Maszyny do nabijania nawierzchni
Œwie¿y drób;Chlorek poliglinowy;Sprzêt filmowy;Opony do autobusów;Urz¹dzenia topnikowe
Gêsi;Uwodniony chlorek glinu;Urz¹dzenia audiowizualne;Opony do maszyn rolniczych;Urz¹dzenia do zgrzewania tworzyw sztucznych
Indyki;Podchloryny i chlorany;Materia³y audiowizualne;Siedziska do cywilnych statków powietrznych;Maszyny do natryskiwania metalu
Kurczêta;Chloryt sodowy;Urz¹dzenia multimedialne;Siedziska do pojazdów mechanicznych;Czêœci i akcesoria do obrabiarek
Kaczki;Podchloryn sodowy;Monitory wideo;Akcesoria do ci¹gników;Rêkojeœci narzêdzi
W¹tróbki drobiowe;Siarczki, siarczany, azotany, fosforany i wêglany;Kolorowe monitory wideo;Motocykle, rowery, przyczepy motocyklowe boczne;Stojaki na narzêdzia laboratoryjne
Foie gras;Siarczki, siarczyny i siarczany;Monochromatyczne monitory wideo;Motocykle;Stojaki do ³aŸni na probówki
Wieprzowina;Ró¿ne siarczki;Urz¹dzenia wideo;Czêœci i akcesoria do motocykli;Rêkojeœci obrabiarek
Podroby;Siarkowodór;Sprzêt wideo do odtwarzania;Przyczepy boczne motocyklowe;Obrabiarki dziel¹ce specjalne mocowania
Jagniêcina i miêso owiec miêsnych;Polisiarczki;Urz¹dzenia do nadzoru wideo;Czêœci i akcesoria do przyczep motocyklowych bocznych;Czêœci i akcesoria do obrabiarek do obróbki metalu
Jagniêcina;Siarczany;Telewizje;Opony do motocykli;Czêœci i akcesoria do obrabiarek do obróbki tworzyw utwardzanych
Owce miêsne;Tiosiarczan sodu;Telewizje kolorowe;Skutery silnikowe i rowery z silnikiem;Czêœci pi³ ³añcuchowych
Miêso kozie;Siarczan ¿elazawy;Telewizje monochromatyczne;Skutery silnikowe;Czêœci narzêdzi rêcznych
Miêso z koni, os³ów, mu³ów lub os³omu³ów;Siarczan glinu;Urz¹dzenia telewizyjne;Rowery z silnikiem;Czêœci narzêdzi pneumatycznych
Miêso koñskie;Siarczan sodowy;Anteny satelitarne;Rowery;Maszyny do produkcji wyrobów w³ókienniczych, odzie¿y i skóry
Miêso z os³ów, mu³ów lub os³omu³ów;Siarczan ¿elazowy;Anteny telewizyjne;Rowery niewyposa¿one w silniki;Maszyny do produkcji wyrobów w³ókienniczych
Miêsa ró¿ne;Siarczan miedzi;Tunery wideo;Czêœci i akcesoria do rowerów;Maszyny do przetwarzania sztucznych tworzyw w³ókienniczych
Miêso królicze;Podfosforyny, fosforyny, fosforany i polifosforany;Telewizory cyfrowe;Opony do rowerów;Maszyny do przêdzenia wyrobów w³ókienniczych
Miêso z zajêcy;Heksametafosforan sodowy;Aparatura do nagrywania i powielania dŸwiêku i obrazu wideo;Statki i ³odzie;Maszyny tkackie
Dziczyzna;Fosfaty;Gramofony;Statki;Maszyny dziewiarskie
¯abie udka;Wêglany;Adaptery;Morskie statki patrolowe;Maszyny do szycia
Go³êbie;Wêglan sodu;Odtwarzacze kasetowe;Statki i podobne jednostki p³ywaj¹ce, do transportu osób lub towarów;Maszyny do prania, czyszczenia na sucho i suszenia
Miêso z ryb;Wodorowêglan sodu;Aparatura do powielania dŸwiêku;Promy;Instalacje pior¹ce
Produkty miêsne;Azotany;Nagrywarki;Statki wycieczkowe;Urz¹dzenia pior¹ce
Konserwy i przetwory z miêsa;Ró¿ne sole kwasów metalicznych;Odtwarzacze plików MP3;Masowce;Pralki
Produkty miêsno-wêdliniarskie;Nadmanganian potasu;Rejestratory z taœm¹ magnetyczn¹;Drobnicowce;Maszyny do czyszczenia na sucho
Miêso na wêdliny;Sole tlenowych kwasów metalicznych;Dyktafony;Statki do transportu towarów;Suszarki
Produkty wêdliniarskie;Ró¿ne chemikalia nieorganiczne;Telefoniczne automaty zg³oszeniowe;Statki do transportu kontenerów;Urz¹dzenia do prasowania i sk³adania bielizny
Wêdliny;Ciê¿ka woda, inne izotopy i ich zwi¹zki;Nagrywarki dŸwiêku;Statki prze³adunkowe;Urz¹dzenia do sk³adania bielizny
Kaszanka i inne wêdliny krwiste;Cyjanek, tlenek cyjanku, pioruniany, cyjaniany, krzemiany, borany, nadborany, sole kwasów nieorganicznych;Aparatura do nagrywania lub powielania obrazu wideo;Tankowce;W³ókiennicze maszyny wykañczalnicze
Wêdliny drobiowe;Cyjanki;Rejestratory obrazu wideo;Promy do transportu samochodów;Maszyny do prasowania
Miêso suszone, solone, wêdzone lub marynowane;Tlenek cyjanku;Kamery wideo;Statki ch³odnie;Prasy magluj¹ce
Szynka wêdzona;Pioruniany;Aparatura do powielania obrazu wideo;Kutry po³owowe, jednostki ratownicze i inne jednostki specjalne;Czêœci maszyn do produkcji wyrobów w³ókienniczych i odzie¿y
Bekon;Cyjaniany;Odtwarzacze wideo;Kutry po³owowe;Maszyny do produkcji papieru i tektury
Salami;Nadtlenek wodoru;Mikrofony i g³oœniki;Statki rybackie;Czêœci maszyn do produkcji papieru i tektury
Konserwy w¹trobiane;Kwarc piezoelektryczny;Mikrofony;Holowniki;Ró¿ne maszyny ogólnego i specjalnego przeznaczenia
Pasztety;Zwi¹zki metali ziem rzadkich;Urz¹dzenia g³oœnikowe;Pog³êbiarki;Aparatura do destylacji, filtrowania lub rektyfikacji
Przetwory z w¹tróbek gêsich lub kaczych;Krzemiany;S³uchawki;Morskie doki p³ywaj¹ce;Maszyny i aparatura do filtrowania lub oczyszczania cieczy
Produkty wieprzowe;Krzemian sodowy;S³uchawki douszne;Statki do wykonywania nurkowania;Maszyny i aparatura do filtrowania cieczy
Szynka;Borany i nadborany;Mikrofony i zestawy g³oœnikowe;¯urawie p³ywaj¹ce;Aparatura do filtrowania p³uczki wiertniczej
Pulpety miêsne;Woda destylowana;Sprzêt nag³aœniaj¹cy;Statki przetwórnie;Maszyny hydrocyklonowe
Gotowe dania wieprzowe;Kamienie syntetyczne;Sprzêt dŸwiêkowy;Statki do prowadzenia badañ sejsmicznych;Aparatura do filtrowania lub oczyszczania napojów
Produkty drobiowe;Syntetyczne kamienie szlachetne;Mini-g³oœniki;Statki badawcze;Maszyny i aparatura do filtrowania lub oczyszczania wody
Produkty wo³owe i cielêce;Syntetyczne kamienie pó³szlachetne;G³oœniki;Statki kontroluj¹ce stopieñ zanieczyszczenia;Aparatura do filtrowania wody
Pulpety wo³owe;Zasadowe organiczne substancje chemiczne;Studyjne konsole mikserskie;Statki gaœnicze;Aparatura odpowietrzaj¹ca
Wo³owina mielona;Wêglowodory;Systemy kompresji dynamiki mowy;Statki ratownicze;Aparatura do oczyszczania wody
Siekane miêso wo³owe;Wêglowodory nasycone;System poczty g³osowej;Latarniowce;Aparatura do odsalania
Przetwory miêsne;Nasycone wêglowodory acykliczne;Rejestratory g³osu;P³ywaj¹ce lub zanurzeniowe platformy wiertnicze lub produkcyjne;Urz¹dzenia zak³adu oczyszczania
Ryby przetworzone i konserwowane;Metan;Wzmacniacze;Statki wiertnicze;Filtry wlotu oleju, paliwa i powietrza
Filety rybne, w¹tróbki rybne i ikra;Etylen;Wzmacniacze czêstotliwoœci akustycznych;Wiertnice podnoœne;Filtry oleju
Filety rybne;Propen;Megafony;Wiertnice platformowe;Filtry paliwa
Œwie¿e filety rybne;Buten;Aparatura odbiorcza do radiotelefonii lub radiotelegrafii;P³ywaj¹ce platformy wiertnicze;Filtry wlotu powietrza
Ikra ryb;Acetylen;Przenoœne odbiorniki do przywo³ywania i wywo³ywania;P³ywaj¹ce jednostki produkcyjne;Urz¹dzenia do recyklingu
W¹tróbki rybne;Nasycone wêglowodory cykliczne;System generowania g³osu;Wyci¹garki czêœciowego zanurzenia;Maszyny do czyszczenia butelek, opakowañ oraz maszyny wa¿¹ce i natryskuj¹ce
Ryby mro¿one, filety rybne i pozosta³e miêso ryb;Wêglowodory nienasycone;Odbiorniki radiowe;Platformy ruchome;Maszyny do czyszczenia, nape³niania, pakowania zbiorczego lub jednostkowego butelek, lub innych pojemników
Ryby mro¿one;Nienasycone wêglowodory acykliczne;Sprzêt radiowy;Platformy przybrze¿ne;Maszyny do czyszczenia lub suszenia butelek lub innych pojemników
Mro¿one produkty rybne;Nienasycone wêglowodory cykliczne;Przywo³ywacze radiowe;Platformy wiertnicze;Maszyny do nape³niania lub zamykania butelek, puszek lub innych pojemników
"Ryby suszone lub solone; ryby w solance; ryby wêdzone";Benzen;Stacje radiowe;Konstrukcje p³ywaj¹ce;Maszyny do pakowania zbiorczego lub jednostkowego
Ryby suszone;Toluen;Wie¿e radiowe;Boje sygnalizacyjne;Maszyny do taœmowania
Ryby solone;O-ksyleny;Instalacje radiowe;Tratwy niezatapialne;Maszyny do pakowania zbiorczego
Ryby w solance;M-ksyleny;Sprzêt radiowy i multipleksy;Odbijacze;Maszyny do pakowania jednostkowego
Ryby wêdzone;Styren;Radiowy i telefoniczny sprzêt steruj¹cy;£odzie;Maszyny wa¿¹ce i wagi
Ryby konserwowane;Etylobenzen;Radia przenoœne;£odzie specjalistyczne;Maszyny wa¿¹ce
Ryby puszkowane i pozosta³e ryby konserwowane lub przetworzone;Pozosta³e chlorowcowane pochodne wêglowodorów;Czêœci sprzêtu dŸwiêkowego i wideo;£odzie obserwacyjne;Wagi
Ryby w folii lub puszkowane;Tetrachloroetylen;Akcesoria do sprzêtu dŸwiêkowego i wideo;£odzie patrolowe s³u¿b celnych;Wagi skalowe
£osoœ puszkowany;Tetrachlorek wêgla;Sprzêt do edytowania obrazu wideo;Policyjne ³odzie patrolowe;Wagi sklepowe
ŒledŸ przetworzony lub konserwowany;"Alkohole, fenole, fenoloalkohole i ich chlorowcowane, sulfonowane, nitrowane lub nitrozowane pochodne; przemys³owe alkohole t³uszczowe";Ekrany;£odzie ratunkowe;Wagi do ci¹g³ego wa¿enia towarów
Sardynki;Przemys³owe alkohole t³uszczowe;Akcesoria do urz¹dzeñ audio;£odzie rekreacyjne i sportowe;Wagi odwa¿nikowe
Tuñczyk puszkowany;Alkohole monowodorotlenowe;Kasety audio;£odzie ¿aglowe;Maszyny do czyszczenia par¹ i piaskowania
Makrela;Metanol;Anteny i reflektory;Katamaranowe ³odzie ¿aglowe;Urz¹dzenia natryskowe
Sardele;Etanol;Czêœci sprzêtu radiowego i radarowego;Szalupy ratunkowe;Pistolety natryskowe
Paluszki rybne;Diole, polialkohole i pochodne;Czêœci zapasowe i akcesoria radarowe;Szalupy ¿aglowe;Obrabiarki do wytwarzania strumienia czynnika roboczego, rozpylania lub natryskiwania
Przetwory rybne w folii;Glikol etylenu;Nagrania dŸwiêkowe;Ma³e jednostki p³ywaj¹ce;Aparaty do rozpylania gazu
Gotowe dania rybne;Pochodne alkoholi;P³yty;Szalupy z w³ókna szklanego;Urz¹dzenia do usuwania zanieczyszczeñ
Przetwory z ryb;Fenole i pochodne;Kasety muzyczne;Szalupy pó³sztywne;Aparatura do czyszczenia przy pomocy wody pod ciœnieniem
Kawior i ikra rybia;Alkohol;Produkty z kliszy;Niezatapialne jednostki p³ywaj¹ce;Wysokociœnieniowa aparatura czyszcz¹ca
Kawior;Alkohol etylowy;Klisza radiologiczna;Szalupy gumowe;Maski poch³aniaj¹ce nieprzyjemne zapachy
Ikra rybia;Przemys³owe monokarboksylowe kwasy t³uszczowe;Klisza rentgenowska;Kanu;Wirówki, g³adzarki i automaty sprzedaj¹ce
